,Tweet,Date,Time
149,RT @x0_kels: FRIENDLY REMINDER: BLACK LIVES STILL MATTER &amp; MASK ARE STILL NEEDED.',2021-03-03,22:54:21
150,GOP Blames Postal Delays on Black Lives Matter https://t.co/wYLUo8ih7L via @YouTube',2021-03-03,22:53:53
151,"@jfetzenrausch Your point? Who\xe2\x80\x99s the greatest threat right now? \n\nHint: Enrique Tarrio, the group\xe2\x80\x99s leader, was arr\xe2\x80\xa6 https://t.co/uX59zPehZe'",2021-03-03,22:53:41
152,FRIENDLY REMINDER: BLACK LIVES STILL MATTER &amp; MASK ARE STILL NEEDED.',2021-03-03,22:53:01
153,Black Lives..... Matter?',2021-03-03,22:52:34
154,Kentucky police officer fired for supplying information to Black Lives Matter protesters https://t.co/dDB0SGaZ0d  \n\n#PoliticalHEDGE',2021-03-03,22:52:09
155,"ASIANS ARE HUMANS\n\nI feel just as horrified this has to be said as I did about Black Lives Matter, but I\xe2\x80\x99ll still s\xe2\x80\xa6 https://t.co/Sa9Ls9V9Ax'",2021-03-03,22:51:52
156,THUG DEMOCRATS INTELLIGENCE ... ANTIFA AND BLACK LIVES MATTER THUGS ARE PLANNING AN UPRISING.... insurrection \xf0\x9f\xa5\xb7\xf0\x9f\x8f\xbf\xf0\x9f\xa5\xb7\xf0\x9f\x8f\xbf\xe2\x80\xa6 https://t.co/DTmTiwmfGN',2021-03-03,22:51:33
157,"RT @Grey_IsTrue: AND HERE'S THE THING.\n\nThey want you to believe that this bill is purely in response to the insurrection on the Capitol, w\xe2\x80\xa6""",2021-03-03,22:51:29
158,@joshua__frank Sadly a lot has changed.\nBut not for the better.\nThe same people who posed for selfies with Mandela\xe2\x80\xa6 https://t.co/CxZiXMFZGn',2021-03-03,22:51:14
159,RT @DisrnNews: Poll finds more Americans concerned about Black Lives Matter riots than Capitol riot\n\nhttps://t.co/ZhHawua8kp',2021-03-03,22:50:26
160,Poll finds more Americans concerned about Black Lives Matter riots than Capitol riot\n\nhttps://t.co/ZhHawua8kp',2021-03-03,22:50:00
